City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
240,Sinnamary,GF,2022-09-12 19:46:38,5.3833,-52.95,83.34,69,42,8.55
241,Togur,RU,2022-09-12 19:46:38,58.3631,82.8265,35.98,85,51,5.44
242,Talnakh,RU,2022-09-12 19:46:38,69.4865,88.3972,34.21,95,100,4.21
243,Keetmanshoop,NA,2022-09-12 19:46:39,-26.5833,18.1333,61.38,15,5,12.57
244,Akyab,MM,2022-09-12 19:46:40,20.15,92.9,77.47,90,100,2.19
245,Mahebourg,MU,2022-09-12 19:46:40,-20.4081,57.7,70.25,78,40,9.22
246,Ayan,RU,2022-09-12 19:46:41,56.45,138.1667,46.92,63,38,6.62
247,Teguldet,RU,2022-09-12 19:46:41,57.3064,88.1667,39.09,85,99,6.13
248,Dawei,MM,2022-09-12 19:46:41,14.0833,98.2,74.77,92,100,4.23
249,Saint-Augustin,CA,2022-09-12 19:46:42,51.226,-58.6502,69.4,56,0,8.9
250,Keflavik,IS,2022-09-12 19:46:42,64.0049,-22.5624,49.91,87,100,14.97
251,Praia Da Vitoria,PT,2022-09-12 19:46:43,38.7333,-27.0667,74.75,88,40,12.5
252,Eureka,US,2022-09-12 19:44:54,40.8021,-124.1637,77.67,76,69,4.0
253,Bulaevo,KZ,2022-09-12 19:46:43,54.9056,70.4439,43.48,64,47,1.77
254,Daud Khel,PK,2022-09-12 19:46:44,32.875,71.5701,89.71,51,0,3.83
255,Codrington,AU,2022-09-12 19:46:44,-38.2667,141.9667,44.47,71,98,1.23
256,Dedovichi,RU,2022-09-12 19:46:44,57.5517,29.9502,47.48,92,100,4.05
257,Xining,CN,2022-09-12 19:46:45,36.6167,101.7667,51.91,76,61,1.43
258,Nanchang,CN,2022-09-12 19:46:45,28.6833,115.8833,72.25,67,0,7.07
259,Xiongyue,CN,2022-09-12 19:46:45,40.1774,122.1228,66.85,86,0,3.2
260,Chokurdakh,RU,2022-09-12 19:46:46,70.6333,147.9167,38.86,93,100,9.17
261,Balabac,PH,2022-09-12 19:46:46,7.9868,117.0645,80.89,78,6,5.26
262,Coihueco,CL,2022-09-12 19:46:46,-36.6167,-71.8333,59.74,51,75,3.44
263,Villa Juarez,MX,2022-09-12 19:46:47,24.6536,-107.5411,92.71,68,88,6.02
264,Roseburg,US,2022-09-12 19:46:47,43.2165,-123.3417,66.31,72,100,5.75
265,Stokmarknes,NO,2022-09-12 19:46:47,68.5646,14.9108,49.96,87,100,6.91
266,Mar Del Plata,AR,2022-09-12 19:46:41,-38.0023,-57.5575,59.02,86,0,11.99
267,Teknaf,BD,2022-09-12 19:46:48,20.8624,92.3058,76.14,93,100,0.89
268,Kolochava,UA,2022-09-12 19:46:48,48.4285,23.6959,49.51,92,99,2.57
269,Manoharpur,IN,2022-09-12 19:46:48,27.3,75.95,79.41,74,16,5.86
270,Awbari,LY,2022-09-12 19:46:49,26.5921,12.7805,86.41,19,1,5.01
